Rank,Zipcode,Zip Name,County,Adjusted Gross Income,Median Household Income
1,48304,Bloomfield Hills,Oakland,363140.00,120104.00
2,48009,Birmingham,Oakland,304550.00,117670.00
3,48302,Bloomfield Hills,Oakland,297530.00,129154.00
4,48236,Grosse Pointe,Wayne,287490.00,103742.00
5,48301,Bloomfield Hills,Oakland,256820.00,144659.00
6,48226,Detroit,Wayne,256060.00,57083.00
7,48025,Franklin,Oakland,239110.00,123365.00
8,49969,Watersmeet,Gogebic,225040.00,41375.00
9,49301,Ada,Kent,215550.00,127342.00
10,48502,Flint,Genesee,210450.00,30500.00
11,48070,Huntington Woods,Oakland,203820.00,130417.00
12,48168,Northville,Wayne,193950.00,133984.00
13,49636,Glen Arbor,Leelanau,181310.00,76250.00
14,48230,Grosse Pointe,Wayne,177230.00,110549.00
15,49116,Lakeside,Berrien,176180.00,58269.00
16,48323,West Bloomfield,Oakland,171320.00,113008.00
17,48363,Oakland,Oakland,169880.00,127946.00
18,49060,Hickory Corners,Barry,168440.00,63750.00
19,48306,Rochester,Oakland,165470.00,147303.00
20,49654,Leland,Leelanau,161040.00,61438.00
21,48098,Troy,Oakland,160620.00,124183.00
22,48374,Novi,Oakland,155640.00,138984.00
23,48331,Farmington,Oakland,142200.00,109847.00
24,48324,West Bloomfield,Oakland,141940.00,110761.00
25,48167,Northville,Oakland,140930.00,94788.00
